    |           Cycle 21           |           Cycle 21           |           Cycle 21           |           Cycle 21           |           Cycle 21
ZPC | Flares | Groups | Flare rate | Flares | Groups | Flare rate | Flares | Groups | Flare rate | Flares | Groups | Flare rate | Flares | Groups | Flare rate
AXX |     1  |   1090 | 9.174E-04  |     0  |     57 | 0.000E+00  |     4  |   2129 | 1.879E-03  |     3  |   1175 | 2.553E-03  |    10  |   1108 | 9.025E-03
BXO |     9  |   1222 | 7.365E-03  |    37  |   6859 | 5.394E-03  |     4  |   2540 | 1.575E-03  |     4  |   1411 | 2.835E-03  |    15  |   1035 | 1.449E-02
BXI |     1  |      8 | 1.250E-01  |     1  |     41 | 2.439E-02  |     0  |      7 | 0.000E+00  |     0  |     12 | 0.000E+00  |     0  |     39 | 0.000E+00
CRO |     2  |    316 | 6.329E-03  |     9  |   1214 | 7.414E-03  |    10  |    704 | 1.420E-02  |     3  |    724 | 4.144E-03  |    27  |    715 | 3.776E-02
CRI |     1  |     14 | 7.143E-02  |     0  |     56 | 0.000E+00  |     0  |      1 | 0.000E+00  |     0  |     30 | 0.000E+00  |     3  |     44 | 6.818E-02
CSO |     4  |    555 | 7.207E-03  |    30  |   2717 | 1.104E-02  |    18  |   2323 | 7.749E-03  |    15  |    910 | 1.648E-02  |    39  |    752 | 5.186E-02
CSI |     0  |      9 | 0.000E+00  |     7  |     62 | 1.129E-01  |     0  |      7 | 0.000E+00  |     4  |     36 | 1.111E-01  |     5  |     45 | 1.111E-01
CAO |    15  |    497 | 3.018E-02  |    49  |   2692 | 1.820E-02  |    18  |   1214 | 1.483E-02  |    23  |    814 | 2.826E-02  |    56  |    807 | 6.939E-02
CAI |     0  |      8 | 0.000E+00  |    13  |    109 | 1.193E-01  |     3  |     23 | 1.304E-01  |     0  |     89 | 0.000E+00  |    22  |    136 | 1.618E-01
CHO |     0  |     96 | 0.000E+00  |     4  |    239 | 1.674E-02  |     2  |     75 | 2.667E-02  |     0  |     46 | 0.000E+00  |     4  |     40 | 1.000E-01
CHI |     0  |      4 | 0.000E+00  |     0  |      9 | 0.000E+00  |     1  |      3 | 3.333E-01  |     0  |      2 | 0.000E+00  |     0  |      3 | 0.000E+00
CKO |     2  |     92 | 2.174E-02  |    28  |    325 | 8.615E-02  |    10  |    134 | 7.463E-02  |     2  |     51 | 3.922E-02  |     9  |     55 | 1.636E-01
CKI |     1  |     12 | 8.333E-02  |    11  |     37 | 2.973E-01  |     1  |      7 | 1.429E-01  |     0  |      7 | 0.000E+00  |     0  |      9 | 0.000E+00
DRO |     3  |     82 | 3.659E-02  |     3  |    198 | 1.515E-02  |     0  |    150 | 0.000E+00  |     2  |    162 | 1.235E-02  |     6  |    139 | 4.317E-02
DRI |     0  |     14 | 0.000E+00  |     3  |     42 | 7.143E-02  |     1  |      6 | 1.667E-01  |     0  |     21 | 0.000E+00  |     3  |     40 | 7.500E-02
DSO |    12  |    405 | 2.963E-02  |    29  |    887 | 3.269E-02  |    42  |   1647 | 2.550E-02  |    29  |    624 | 4.647E-02  |    41  |    432 | 9.491E-02
DSI |     5  |     45 | 1.111E-01  |    21  |    138 | 1.522E-01  |     4  |     86 | 4.651E-02  |     6  |    159 | 3.774E-02  |    21  |    118 | 1.780E-01
DSC |     0  |      1 | 0.000E+00  |     2  |      6 | 3.333E-01  |     0  |      5 | 0.000E+00  |     3  |     22 | 1.364E-01  |     1  |      5 | 2.000E-01
DAO |    33  |    644 | 5.124E-02  |   112  |   2482 | 4.512E-02  |    95  |   2051 | 4.632E-02  |    23  |    773 | 2.975E-02  |    92  |    694 | 1.326E-01
DAI |    13  |     99 | 1.313E-01  |    67  |    654 | 1.024E-01  |    41  |    447 | 9.172E-02  |    28  |    503 | 5.567E-02  |   138  |    569 | 2.425E-01
DAC |     0  |      1 | 0.000E+00  |     0  |     13 | 0.000E+00  |    20  |     67 | 2.985E-01  |    40  |    149 | 2.685E-01  |    76  |     87 | 8.736E-01
DHO |     0  |     42 | 0.000E+00  |     3  |     96 | 3.125E-02  |     2  |     49 | 4.082E-02  |     1  |     56 | 1.786E-02  |    11  |     42 | 2.619E-01
DHI |     6  |     29 | 2.069E-01  |     3  |     22 | 1.364E-01  |     2  |      9 | 2.222E-01  |     3  |     25 | 1.200E-01  |    13  |     35 | 3.714E-01
DHC |     0  |      1 | 0.000E+00  |     0  |      1 | 0.000E+00  |     3  |      3 | 1.000E+00  |     2  |     18 | 1.111E-01  |     8  |      4 | 2.000E+00
DKO |    21  |    124 | 1.694E-01  |    56  |    367 | 1.526E-01  |    27  |    186 | 1.452E-01  |    14  |     74 | 1.892E-01  |    17  |     74 | 2.297E-01
DKI |    32  |    138 | 2.319E-01  |    63  |    319 | 1.975E-01  |    35  |    175 | 2.000E-01  |    17  |     73 | 2.329E-01  |    53  |    147 | 3.605E-01
DKC |    16  |     27 | 5.926E-01  |    36  |     83 | 4.337E-01  |    48  |     98 | 4.898E-01  |    64  |    122 | 5.246E-01  |    67  |    109 | 6.147E-01
ERO |     0  |      7 | 0.000E+00  |     0  |     12 | 0.000E+00  |     1  |      3 | 3.333E-01  |     0  |      4 | 0.000E+00  |     0  |      2 | 0.000E+00
ERI |     0  |      1 | 0.000E+00  |     0  |      0 |    N/A     |     0  |      0 |    N/A     |     0  |      1 | 0.000E+00  |     0  |      1 | 0.000E+00
ESO |     4  |     64 | 6.250E-02  |    12  |    210 | 5.714E-02  |     4  |    254 | 1.575E-02  |     1  |    103 | 9.709E-03  |     8  |     82 | 9.756E-02
ESI |     3  |     38 | 7.895E-02  |    16  |     90 | 1.778E-01  |     5  |     62 | 8.065E-02  |     1  |     72 | 1.389E-02  |     7  |     41 | 1.707E-01
ESC |     0  |      0 |    N/A     |     0  |      0 |    N/A     |     0  |      6 | 0.000E+00  |     2  |     14 | 1.429E-01  |     2  |      4 | 5.000E-01
EAO |    10  |    138 | 7.246E-02  |    48  |    671 | 7.154E-02  |    55  |    582 | 9.450E-02  |     5  |     88 | 5.682E-02  |    13  |     82 | 1.585E-01
EAI |    17  |     72 | 2.361E-01  |    70  |    436 | 1.606E-01  |    67  |    446 | 1.502E-01  |    15  |    133 | 1.128E-01  |    60  |    181 | 3.315E-01
EAC |     2  |      2 | 1.000E+00  |     3  |      8 | 3.750E-01  |    13  |     72 | 1.806E-01  |    24  |     99 | 2.424E-01  |    20  |     33 | 6.061E-01
EHO |     6  |     35 | 1.714E-01  |     7  |     70 | 1.000E-01  |     1  |     27 | 3.704E-02  |     2  |     37 | 5.405E-02  |     7  |     50 | 1.400E-01
EHI |     1  |     13 | 7.692E-02  |    11  |     52 | 2.115E-01  |     8  |     26 | 3.077E-01  |     1  |     36 | 2.778E-02  |     9  |     53 | 1.698E-01
EHC |     0  |      0 |    N/A     |     0  |      2 | 0.000E+00  |     0  |      4 | 0.000E+00  |    10  |     18 | 5.556E-01  |     9  |     18 | 5.000E-01
EKO |    32  |    120 | 2.667E-01  |    53  |    346 | 1.532E-01  |    22  |    154 | 1.429E-01  |     5  |     56 | 8.929E-02  |    18  |     83 | 2.169E-01
EKI |   116  |    192 | 6.042E-01  |   232  |    590 | 3.932E-01  |    75  |    321 | 2.336E-01  |    28  |    105 | 2.667E-01  |   117  |    200 | 5.850E-01
EKC |    33  |     20 | 1.650E+00  |   126  |    141 | 8.936E-01  |   120  |    230 | 5.217E-01  |   149  |    277 | 5.379E-01  |   326  |    274 | 1.190E+00
FRO |     0  |      0 |    N/A     |     0  |      1 | 0.000E+00  |     0  |      1 | 0.000E+00  |     0  |      0 |    N/A     |     0  |      0 |    N/A   
FRI |     0  |      0 |    N/A     |     0  |      3 | 0.000E+00  |     0  |      0 |    N/A     |     0  |      0 |    N/A     |     0  |      0 |    N/A   
